,Chart Artist Name,Spotify Artist Name,Chart Song Name,Spotify Song Name,Lev Dist,Predicted URL,Debut Year,Debut Date
4251,Marvin Gaye,Marvin Gaye,Pretty Little Baby,Pretty Little Baby - Single Version (Mono),24.0,https://open.spotify.com/track/7tElOwaw2ONWiPCW8bDErC,1965,7/24/65
37,Jake Hoot,Jake Hoot,Better Off Without You,Better Off Without You - The Voice Performance,24.0,https://open.spotify.com/track/0snxUzO6FmL0xW33KdPcY2,2019,12/28/19
2595,Carl Anderson & Gloria Loring,Carl Anderson Gloria Loring,Friends And Lovers,Friends And Lovers (feat. Gloria Loring),24.0,https://open.spotify.com/track/19u5G7pWq3Nj6lQiP4W4Hp,1986,7/5/86
2593,Ramon Ayala,Ramon Ayala Y Sus Bravos Del Norte,Debajo de aquel arbol,Debajo De Aquel Árbol,24.0,https://open.spotify.com/track/5ARKuKjzE06AeeAwU9yt3d,1986,9/20/86
2540,Paul McCartney,Paul McCartney,Stranglehold,Stranglehold - 1993 Digital Remaster,24.0,https://open.spotify.com/track/7oJLxq4WVOjtHDB4War58k,1986,11/15/86
860,Vicci Martinez,Vicci Martinez,Dog Days Are Over,Dog Days Are Over - The Voice Performance,24.0,https://open.spotify.com/track/461aKwfe43LKvJ1sm2BiHH,2011,7/9/11
4717,Georgie Young,Georgie Young And The Rockin' Bocs,"Nine More Miles (The ""Faster-Faster"" Song)","Nine More Miles The ""Faster Faster"" Song",24.0,https://open.spotify.com/track/1eIK074m2N2klVFCY6tyrw,1958,10/20/58
57,Jake Hoot,Jake Hoot,Desperado,Desperado - The Voice Performance,24.0,https://open.spotify.com/track/51wEe5MpMyqiq8a5iwfWHo,2019,12/21/19
858,Casey Weston,Casey Weston,Black Horse And The Cherry Tree,Black Horse And The Cherry Tree - The Voice Performance,24.0,https://open.spotify.com/track/1uF9gqGNdvwTRi0tvlDgEQ,2011,7/2/11
2520,Roberto Carlos,Roberto Carlos,Simbolo sexual,Símbolo Sexual - Versão Remasterizada,24.0,https://open.spotify.com/track/24c5K7vB2ZGJ6JqC2xCciJ,1986,9/20/86
68,Ricky Duran,Ricky Duran,Let It Be,Let It Be - The Voice Performance,24.0,https://open.spotify.com/track/4JN5Xv9pVktBXAyWRzJjef,2019,12/21/19
3372,The Hollies,The Hollies,Sandy,"Sandy (4th July, Asbury Park)",24.0,https://open.spotify.com/track/6698O2GfsJDE2FsNpxctdf,1975,4/12/75
81,Britton Buchanan,Britton Buchanan,The Rising,The Rising - The Voice Performance,24.0,https://open.spotify.com/track/3g3lOhcWAxDNt1s9ZReDKo,2018,5/26/18
