,Chart Artist Name,Spotify Artist Name,Chart Song Name,Spotify Song Name,Lev Dist,Predicted URL,Debut Year,Debut Date,Chart Appearances,Sp Artist Genres,Sp Album Genres,Sp Album Type,Sp Album Name
0,Franz Ferdinand,Franz Ferdinand,Do You Want To,Do You Want To,0.0,https://open.spotify.com/track/0vek0LcCbvcMtj0GkXMMJy,2005,9/10/05,Hot100,alternative rock || dance-punk || garage rock || indie rock || modern rock || new rave || rock || scottish rock,,album,You Could Have It So Much Better
0,El Chapo de Sinaloa,El Chapo De Sinaloa,Recostada En La Cama,Recostada En La Cama,0.0,https://open.spotify.com/track/50tmOF513elS7K3HrwYq29,2005,9/10/05,Latin,banda || cumbia || duranguense || grupera || norteno || ranchera || regional mexican,,album,Tu Yo Y La Luna
0,Sawyer Brown,Sawyer Brown,They Don't Understand,They Don't Understand,0.0,https://open.spotify.com/track/1O9WftfJfkQsCZUaRtLB4S,2005,9/10/05,"Christian, Country",country || country road || country rock,,album,Mission Temple Fireworks Stand
0,Shane & Shane,Shane & Shane,Saved By Grace,Saved By Grace,0.0,https://open.spotify.com/track/0irlbIvSYH49ToKbfnd9sJ,2005,9/10/05,Christian,anthem worship || ccm || christian alternative rock || christian music || indiecoustica || roots worship || world worship || worship,,album,Clean
0,T.O.K.,T.O.K.,Footprints,Footprints,0.0,https://open.spotify.com/track/1zwZpprsjJWnOJ9l4mNkbM,2005,9/10/05,"Hot100, RAB, Rap",dancehall,,compilation,Total Reggae: Summer Hits
0,John Eric,John Eric,Tembleque,Tembleque,0.0,https://open.spotify.com/track/0bVrqHveoAq8nvBJsIWHVm,2005,9/10/05,Latin,latin || latin hip hop || reggaeton || tropical,,album,Peso Completo
0,NewSong,Newsong,Rescue,Rescue,0.0,https://open.spotify.com/track/0s6x0qPJO7W6ZLVqceGDFg,2005,9/10/05,Christian,anthem worship || ccm || christian alternative rock || christian music || worship,,album,Rescue
0,Keith Urban,Keith Urban,Better Life,Better Life,0.0,https://open.spotify.com/track/29Qqb1qYSjC1pSK8QPDnkp,2005,9/10/05,"Country, Hot100",australian country || australian pop || contemporary country || country || country road,,album,Be Here
0,Nickelback,Nickelback,Photograph,Photograph,0.0,https://open.spotify.com/track/3hb2ScEVkGchcAQqrPLP0R,2005,9/10/05,Hot100,alternative metal || canadian rock || nu metal || post-grunge,,album,All the Right Reasons
0,Frankie J,Frankie J,More Than Words,More Than Words,0.0,https://open.spotify.com/track/4RQFyVdJpn87nbz4pUGCRX,2005,9/17/05,"Hot100, Latin",dance pop || pop rap || r&b || urban contemporary,,compilation,Playlist: The Very Best Of Frankie J
0,George Strait,George Strait,She Let Herself Go,She Let Herself Go,0.0,https://open.spotify.com/track/1mIQiN9xMz58kfQO6wjOeX,2005,9/17/05,"Country, Hot100",contemporary country || country || country road,,album,Somewhere Down In Texas
0,Los Huracanes del Norte,Los Huracanes del Norte,Nada Contigo,Nada Contigo,0.0,https://open.spotify.com/track/69xJXPXJeaJKF1mZWQtdgB,2005,9/17/05,Latin,banda || cumbia || grupera || norteno || ranchera || regional mexican,,album,Dejate Querer
0,50 Cent,50 Cent,Outta Control,Outta Control,0.0,https://open.spotify.com/track/6dWNtdXVsT4t5oqN4rpN2U,2005,9/17/05,Hot100,east coast hip hop || gangster rap || hip hop || pop rap || queens hip hop || rap,,album,The Massacre
0,La Quinta Estacion,La Quinta Estacion,Daria,Daría,1.0,https://open.spotify.com/track/3c6C15ucvBPGKjdFDHzqjH,2005,9/17/05,Latin,latin || latin arena pop || latin pop || pop || rock en espanol || spanish pop || spanish pop rock,,album,Recuérdame Con Cartas Y Algo Más... Los Exitos (Deluxe Edition)
0,Audioslave,Audioslave,Doesn't Remind Me,Doesn't Remind Me,0.0,https://open.spotify.com/track/0o995gJCGebaza0LWybToU,2005,9/17/05,Hot100,alternative metal || alternative rock || modern rock || nu metal || permanent wave || post-grunge || rock,,album,Out of Exile
0,Big & Rich,Big & Rich,Comin' To Your City,Comin' to Your City,0.0,https://open.spotify.com/track/56EYmR9IrFKKYdygcKXrvH,2005,9/17/05,"Country, Hot100",contemporary country || country || country road || modern country rock,,album,Comin' to Your City
0,Olga Tanon,Olga Tañón,Vete Vete,Vete Vete,2.0,https://open.spotify.com/track/2aB9Xp9fwRZtBOmHngzEV9,2005,9/17/05,Latin,latin || pop reggaeton || puerto rican pop || tropical,,album,Una Nueva Mujer
